ts,iso_time,ph,o2,temp
1759807660118,2025-10-07T11:27:40.118000,7.1,7.67,26.4
1759807666566,2025-10-07T11:27:46.566000,7.1,7.67,26.4
1759807668370,2025-10-07T11:27:48.370000,7.1,7.67,26.4
1759807670087,2025-10-07T11:27:50.087000,7.1,7.67,26.4
1759807676590,2025-10-07T11:27:56.590000,7.1,7.66,26.4
1759807678386,2025-10-07T11:27:58.386000,7.1,7.66,26.4
1759807680073,2025-10-07T11:28:00.073000,7.1,7.66,26.4
1759807686566,2025-10-07T11:28:06.566000,7.1,7.64,26.4
1759807688401,2025-10-07T11:28:08.401000,7.1,7.64,26.4
1759807690086,2025-10-07T11:28:10.086000,7.1,7.64,26.4
1759807696561,2025-10-07T11:28:16.561000,7.1,7.63,26.4
1759807698390,2025-10-07T11:28:18.390000,7.1,7.63,26.4
1759807700064,2025-10-07T11:28:20.064000,7.1,7.63,26.4
1759807706552,2025-10-07T11:28:26.552000,7.1,7.65,26.4
1759807708381,2025-10-07T11:28:28.381000,7.1,7.65,26.4
1759807710072,2025-10-07T11:28:30.072000,7.1,7.65,26.4
1759807716567,2025-10-07T11:28:36.567000,7.1,7.66,26.4
1759807718385,2025-10-07T11:28:38.385000,7.1,7.66,26.4
1759807720067,2025-10-07T11:28:40.067000,7.1,7.66,26.4
1759807720091,2025-10-07T11:28:40.091000,7.1,7.66,26.4
1759807720091,2025-10-07T11:28:40.091000,7.1,7.66,26.4
1759807726539,2025-10-07T11:28:46.539000,7.1,7.66,26.4
1759807728386,2025-10-07T11:28:48.386000,7.1,7.66,26.4
1759807730055,2025-10-07T11:28:50.055000,7.1,7.66,26.4
1759807736601,2025-10-07T11:28:56.601000,7.1,7.66,26.4
1759807738387,2025-10-07T11:28:58.387000,7.1,7.66,26.4
1759807740072,2025-10-07T11:29:00.072000,7.1,7.66,26.4
1759807746562,2025-10-07T11:29:06.562000,7.1,7.66,26.4
1759807748367,2025-10-07T11:29:08.367000,7.1,7.66,26.4
1759807750059,2025-10-07T11:29:10.059000,7.1,7.66,26.4
1759807756555,2025-10-07T11:29:16.555000,7.1,7.64,26.4
1759807758385,2025-10-07T11:29:18.385000,7.1,7.64,26.4
1759807760072,2025-10-07T11:29:20.072000,7.1,7.64,26.4
1759807766559,2025-10-07T11:29:26.559000,7.1,7.65,26.4
1759807768398,2025-10-07T11:29:28.398000,7.1,7.65,26.4
1759807770062,2025-10-07T11:29:30.062000,7.1,7.65,26.4
1759807776553,2025-10-07T11:29:36.553000,7.1,7.67,26.4
1759807778392,2025-10-07T11:29:38.392000,7.1,7.67,26.4
1759807780083,2025-10-07T11:29:40.083000,7.1,7.67,26.4
1759807780141,2025-10-07T11:29:40.141000,7.1,7.67,26.4
1759807780142,2025-10-07T11:29:40.142000,7.1,7.67,26.4
1759807786587,2025-10-07T11:29:46.587000,7.1,7.68,26.4
1759807788394,2025-10-07T11:29:48.394000,7.1,7.68,26.4
1759807790069,2025-10-07T11:29:50.069000,7.1,7.68,26.4
1759807796549,2025-10-07T11:29:56.549000,7.1,7.68,26.4
1759807798378,2025-10-07T11:29:58.378000,7.1,7.68,26.4
1759807800079,2025-10-07T11:30:00.079000,7.1,7.68,26.4
1759807806645,2025-10-07T11:30:06.645000,7.1,7.66,26.4
1759807808398,2025-10-07T11:30:08.398000,7.1,7.66,26.4
1759807810072,2025-10-07T11:30:10.072000,7.1,7.66,26.4
1759807816551,2025-10-07T11:30:16.551000,7.1,7.65,26.4
1759807818367,2025-10-07T11:30:18.367000,7.1,7.65,26.4
1759807820103,2025-10-07T11:30:20.103000,7.1,7.65,26.4
1759807826546,2025-10-07T11:30:26.546000,7.1,7.65,26.4
1759807828387,2025-10-07T11:30:28.387000,7.1,7.65,26.4
1759807830072,2025-10-07T11:30:30.072000,7.1,7.65,26.4
1759807836565,2025-10-07T11:30:36.565000,7.1,7.67,26.4
1759807838385,2025-10-07T11:30:38.385000,7.1,7.67,26.4
1759807840075,2025-10-07T11:30:40.075000,7.1,7.67,26.3
1759807840111,2025-10-07T11:30:40.111000,7.1,7.67,26.3
1759807840112,2025-10-07T11:30:40.112000,7.1,7.67,26.3
1759807846570,2025-10-07T11:30:46.570000,7.1,7.68,26.3
1759807848373,2025-10-07T11:30:48.373000,7.1,7.68,26.3
1759807850071,2025-10-07T11:30:50.071000,7.1,7.68,26.4
1759807856542,2025-10-07T11:30:56.542000,7.1,7.68,26.4
1759807858387,2025-10-07T11:30:58.387000,7.1,7.68,26.4
1759807860077,2025-10-07T11:31:00.077000,7.1,7.68,26.4
